read_hr,write_hr,overall_hr,workload,cur_mean_read_size,cur_mean_write_size,cur_mean_read_iat,cur_mean_write_iat,misalignment_per_read,misalignment_per_write,write_ratio,mean,max,wmean,bits,rate
82.03169244032969,34.036440491921866,76.650788571761,w81,32.891565606494986,-3.4209049465334664,20.95784037103451,-46.59336135712082,16.76122531757442,2.5761473431609785,46.282942899817975,24.21199826310531,46.59336135712082,36.18876429051164,4,5
80.4897802083747,8.511793352861824,72.42004360118752,w81,45.649725389047205,18.74784437099118,23.73619424728321,-0.7982504699214996,22.810762194348353,8.523115729377464,27.774326378284524,21.14860268275049,45.649725389047205,29.47719770469775,1,80
78.99136737292879,5.426626205588831,70.74377282033674,w81,66.73013591706105,42.57802077109481,38.64854079763498,15.3259315980918,33.252570506395834,28.945662625285173,29.302254772263872,36.39758814111822,66.73013591706105,42.37564823725428,2,5
80.7488871574892,8.403965958144571,72.6380157508875,w81,71.56895379017102,32.17558479660118,35.62099512984371,10.20929608185234,35.76491921321976,17.316107807185602,50.05660947988334,36.10178089982242,71.56895379017102,45.96175955545677,1,40
81.9841303378146,25.61007885113178,75.66384873587553,w81,80.57743377963197,51.29018530090343,48.03759128174838,-5.723811095406026,40.354827630902655,27.902091601076656,60.12768007204012,44.85908868024418,80.57743377963197,55.68597575348487,1,1
80.75889021287138,15.017830818183247,73.38840683125476,w81,77.03197982093286,47.129901883991465,39.18556553782802,6.764767555061643,38.54331791646124,25.485681427256182,51.49603934447688,40.80532192657261,77.03197982093286,50.84551611549864,1,20
80.0862076257682,0.682228741666041,71.17632585042699,w81,79.03835158920468,52.85362878443892,37.23590880110552,23.655221673310326,39.62242043154766,28.15086362471655,42.62830707856266,43.31210028326948,79.03835158920468,50.02306944626689,1,10
79.51356570033435,30.070994854899208,67.22771698014856,w81,65.41394479361554,5.055782577402258,38.862703022772926,14.471371984480822,32.6628874012308,10.65297611704353,35.80037766355046,28.988577651442334,65.41394479361554,41.82086899738394,2,10
78.5382245320425,29.2384598976253,66.45496976273934,w81,62.64368606724547,30.272584408902045,32.12315116238669,31.96336433078846,31.40630927952778,19.68521555697506,13.954759860313505,31.721295809448435,62.64368606724547,38.11235751758286,2,20
80.95815191390618,25.05795896645163,74.69100873772425,w81,67.72633294653508,25.79597647957615,34.996985401866105,-15.08056087347184,33.5178310768432,20.14747934321668,55.73285002162423,36.14257373473333,67.72633294653508,44.82255453534895,2,1
79.17551067583655,16.006537583736506,68.50479380200291,w81,55.87865090753278,23.753477047934837,28.207987817432777,5.196710730462902,27.861063360786645,14.73354197005853,18.433031812958156,24.86635194959523,55.87865090753278,33.5648088542345,2,40
79.66751544179783,4.7779022535953715,71.27133316061683,w81,9.659308599950899,2.31478676923579,6.270224908397609,-6.013884334315162,4.729652075534621,-2.340215415464193,5.573206664019369,5.271611252416806,9.659308599950899,6.3154953665105005,4,80
79.56190941353387,13.932397355619853,69.08079998643338,w81,79.92059042775918,57.32371753007857,38.054673777328944,34.36899602217105,40.07771635422878,28.05714970866131,32.74208301971658,44.36356097713492,79.92059042775918,50.77579791281542,1,5
79.32971968286739,3.391401645730964,70.81561230131747,w81,23.841278172081733,17.18424983855658,11.659620947417887,-4.547006742218561,12.061666490502398,0.018917675132236012,7.007329542138562,10.902867058292566,23.841278172081733,15.918667939973277,4,40
79.74358284665996,0.6088036739859841,70.85302393430912,w81,29.768416609938942,10.081386202470252,14.125670066140525,2.7594067746607407,14.808969537884739,4.04550405404487,12.515836354066352,12.58645565702949,29.768416609938942,18.015507423334633,2,80
81.62982466440774,15.970182665818415,74.26847712772019,w81,32.146765130350325,23.11552089806009,22.03455960602052,-94.07102344355773,16.019147603136066,6.531973069753015,18.399628616889633,30.33123119539534,94.07102344355773,54.35438148362927,4,10
81.61781478055102,20.985845397516968,74.82019529208826,w81,32.40004913761264,-35.07936824034342,4.415952467062503,-48.94433783832313,17.545530615766545,7.304507838006473,45.61480579246232,27.32922170422529,48.94433783832313,37.30850111888776,4,1
82.07054248322635,24.581057706976956,75.62518038708592,w81,29.221554041341253,8.185063657491174,20.504976599152048,-66.52578937111883,14.844153678449093,4.469518147556708,31.243664926460134,24.99924577450989,66.52578937111883,39.90703991848747,4,20
10.026999786186185,2.406111483823274,2.043634649457241,w98,0.16374720553774735,20.26630222465763,35.30527427606508,-12.499141018144233,3.896699266503667,14.397586033479415,-1.80477337398426,12.619074771196006,35.30527427606508,23.084924207179967,4,1
3.424923783607106,1.7645360528875036,2.27002455835398,w98,6.271600380608512,23.794617678395635,-34.66909927009669,-17.771429680330403,3.1993046209062403,13.142952882700076,-1.369315133241895,14.31690280661135,34.66909927009669,23.031066091436443,4,5
0.8966122420426914,0.4493727150508216,0.5850774934910226,w98,1.187795723873966,6.13728670452621,1.1465359059180633,-3.776273882153853,0.7124139881232949,3.449601796549906,-0.38131822546510097,2.398746603801485,6.13728670452621,4.00236556396373,4,80
1.1826259909398178,1.1387986672860788,1.1491608082008948,w98,3.2014426344987945,17.26390540638903,4.723529818622862,-10.273477195286834,2.058038716582178,9.047657848799862,-1.0254536322935146,6.799072178924723,17.26390540638903,10.995091047321552,4,40
0.38905552701884033,0.5410304677508164,0.4907921094887081,w98,5.0016325967796424,22.2995584759788,0.14724678836451727,-9.336100014930421,2.8003442089756914,11.21331832404614,-1.6283731445784073,7.489510507664803,22.2995584759788,14.223762226653903,4,20
